"","word","SWN3","Nanger","Nanticipation","Ndisgust","Nfear","Njoy","Nnegative","Npositive","Nsadness","Nsurprise","Ntrust","AFINN","OPFIND"
"2087","admit","9.765625E-4","0","0","0","0","0","0","0","0","0","0","-1","positive"
"9809","audacious","0.34375","0","0","0","0","0","0","0","0","0","0","3","negative"
"45245","excuse","-0.0048828125","0","0","0","0","0","1","0","0","0","0","-1","positive"
"52912","futile","-0.5","0","0","0","0","0","1","0","1","0","0","2","negative"
"71814","irresponsible","0.5","0","0","0","0","0","1","0","0","0","0","2","negative"
"76790","laugh","0.046875","0","0","0","0","1","0","1","0","1","0","1","negative"
"94051","ominous","-0.625","0","1","0","1","0","1","0","0","0","0","3","negative"
"113202","rigorous","-0.0625","0","0","0","0","0","1","0","0","0","0","3","negative"
"128539","stunned","-0.3125","0","0","0","1","0","1","0","0","1","0","-2","positive"
"130798","sympathetic","-0.10546875","0","0","0","1","1","0","1","1","0","1","2","negative"
"130810","sympathy","-0.125","0","0","0","0","0","0","1","1","0","0","2","negative"
"144151","vulnerable","0.03125","0","0","0","0","0","0","0","0","0","0","-2","positive"
